,Discharge,Sediment_Load_tonnes_day,Rainfall,Monthly_Sediment_Yield_tons_ha
2004-10-01,20.611794612774194,33515.83194434084,77.56,0.24042921050459712
2004-11-01,8.414510836966667,11500.518450666334,24.16,0.08250013235772119
2004-12-01,5.6487351512258055,7718.557477991026,3.36,0.055369852783292865
2005-01-01,4.190524241548387,5729.279121205545,1.04,0.04109956327981022
2005-02-01,3.4509336611428574,4246.600358755224,0.72,0.030463417207713228
2005-03-01,3.79286751416129,5346.457845512616,32.76,0.03835335613710628
2005-04-01,2.7593111551000002,3708.5915729063518,15.66,0.026603956764034088
2005-05-01,3.612428582516129,5049.316614503938,46.14,0.0362217834612908
2005-06-01,14.0984232705,25928.65763250967,216.78,0.18600184815286705
2005-07-01,73.88458464935485,217377.7975550464,375.96000000000004,1.5593816180419398
2005-08-01,114.54039387774193,380455.7491718986,383.54,2.7292377989375796
2005-09-01,123.65109062166667,411054.096310411,236.66,2.948738137090466
2005-10-01,39.23431971387097,83577.3970441477,38.92,0.5995509113640437
2005-11-01,9.254209826833334,13102.118677193459,17.78,0.09398937358101477
2005-12-01,6.079806314741936,8469.42620538564,2.44,0.060756285547960115
2006-01-01,4.450346795193549,6047.521467759144,0.5800000000000001,0.04338250694231811
2006-02-01,3.648362687035714,4504.811174710589,1.8800000000000001,0.03231571861341886
2006-03-01,3.469153873096774,4763.42892505728,5.72,0.03417093920414118
2006-04-01,3.4326717459,4710.202344721239,43.96,0.03378911294635035
2006-05-01,6.817659640645161,10054.889690485032,162.48000000000002,0.07212976822442634
2006-06-01,17.781700208766665,29468.29926571111,189.8,0.2113938254355173
2006-07-01,85.77662565096773,271609.317122725,430.54,1.9484169090582857
2006-08-01,199.5240042964516,828754.815181135,458.98,5.945156493408429
2006-09-01,134.752134842,476494.9836249825,226.12,3.418184961441768
2006-10-01,24.216027172903225,42914.95004856072,75.56,0.3078547349251128
2006-11-01,9.732656494766667,13720.975840686579,19.32,0.09842880803935852
2006-12-01,5.9850373864193545,8835.834786187364,17.28,0.0633847545637544
2007-01-01,4.416535582354839,6222.860492399079,5.46,0.0446403191707251
2007-02-01,3.9358871500714288,5001.545969294011,2.32,0.035879095905982865
2007-03-01,3.8930104633225806,5394.182167499184,13.44,0.038695711388085974
2007-04-01,4.546381026000001,6271.051253125342,56.26,0.044986020467183224
2007-05-01,7.226936082129033,10348.13822475083,53.44,0.07423341624641916
2007-06-01,43.6569239777,123776.02495141163,283.18,0.88791983465862
2007-07-01,109.22806640548387,358900.28142453637,353.844,2.5746074707642492
2007-08-01,138.57117521290323,504514.00067735894,412.68,3.6191822143282564
2007-09-01,160.035009487,620802.9103392581,250.46,4.453392470152497
2007-10-01,28.99458569448387,80898.76915631881,29.5,0.5803355032734492
2007-11-01,14.457679196733332,20662.371932823993,19.62,0.1482236150130846
2007-12-01,10.025603096935484,14371.680850511199,0.0,0.10309670624470013
2008-01-01,6.234583191258064,8618.972373770817,22.419999999999998,0.06182907011313355
2008-02-01,3.9403113918965516,5034.712198552891,7.0,0.03611701720626177
2008-03-01,2.8235585461935484,3845.5918683484606,0.3,0.027586742240663275
2008-04-01,4.930717622466667,6811.890402980102,85.16,0.04886578481334363
2008-05-01,6.875398665354839,10161.669664110212,182.966,0.07289576516578344
2008-06-01,38.5490418145,77981.8309697871,187.3,0.5594105521505531
2008-07-01,148.83708052903225,562696.156537141,345.52,4.036557794384081
2008-08-01,213.93176754838709,892163.3688797156,321.2,6.400024166999394
2008-09-01,101.66873671100001,348076.6885578714,170.6,2.4969633325528795
2008-10-01,14.202731346451614,21325.57190633333,71.96,0.1529811471042563
2008-11-01,12.017496680033332,18145.13164055152,6.62,0.13016593716321034
2008-12-01,5.079022763387097,6942.169822371163,5.1,0.04980035740581896
2009-01-01,3.9005124522580648,5286.666399762355,0.0,0.03792443615324501
2009-02-01,3.08813698125,3840.619223716358,7.58,0.027551070471422943
2009-03-01,2.5948711272258063,3627.356439254076,28.680000000000003,0.026021208316026372
2009-04-01,2.057829824266667,2790.30941080128,22.78,0.02001656679197475
2009-05-01,2.343640263645161,3290.016017993285,54.519999999999996,0.023601262682878658
2009-06-01,4.064381833266666,5692.823704217275,123.82,0.04083804665866051
2009-07-01,102.45901610612904,392906.28865057824,434.96,2.8185530032322688
2009-08-01,196.31009516774193,822368.4682913611,479.66,5.89934338802985
2009-09-01,83.23395413766666,260447.2677628681,117.82,1.8683448189588818
2009-10-01,12.168570903967742,18095.56745480322,102.1,0.12981038346343773
2009-11-01,5.5349973320000005,7415.507184565363,12.1,0.05319589085054063
2009-12-01,3.28466561816129,4542.520087407967,4.26,0.03258622731282616
2010-01-01,2.8554447556774196,3960.828022068749,11.68,0.028413400445256448
2010-02-01,2.8487207976785713,3503.205527350075,0.0,0.02513059919189437
2010-03-01,1.9293015353548386,2677.4661716869246,18.38,0.019207074402345228
2010-04-01,2.0661969093666666,2814.6314715846624,44.42,0.020191043555126704
2010-05-01,5.474018428741936,8288.891097200309,64.24,0.05946119868866792
2010-06-01,19.200669516666668,34254.402192207504,176.78,0.24572741888240676
